date,Output,Heat Rate,Heat Consumption,Exhaust Temperature,Exhaust Flow
2022-06-27 19:00:00+00:00,89556.81360085298,11087.309542593906,957158710.32163,1043.5881588156321,924663.9444824712
2022-06-27 20:00:00+00:00,89463.51400418281,11087.61450398696,956187523.7039708,1043.5896592087356,923725.26422627
2022-06-27 21:00:00+00:00,89444.85408484876,12174.184861319554,955993286.3804389,1085.8899592873563,801428.5119548584
2022-06-27 22:00:00+00:00,89482.17392351684,26591.648726910265,956381761.0275028,869.489359130115,634559.8311336875
2022-06-27 23:00:00+00:00,89519.49376218491,26591.356167285427,956770235.6745664,869.4887589728735,634817.7120314277
2022-06-28 00:00:00+00:00,89631.45327818912,26590.478488410918,957935659.6157573,869.4869585011494,635591.3547246484
2022-06-28 01:00:00+00:00,89659.44315719018,26590.259068692292,958227015.6010551,869.4865083832184,635784.7653979535
2022-06-28 02:00:00+00:00,89678.10307652422,26590.112788879873,958421252.924587,869.4862083045977,635913.7058468236
2022-06-28 03:00:00+00:00,89743.41279419335,26589.600809536416,959101083.5569484,869.4851580294253,636364.997417869
2022-06-28 04:00:00+00:00,89855.09808775112,26588.81595298522,960266507.4981393,869.4833575577011,637138.6401110896
2022-06-28 05:00:00+00:00,89762.07271352739,26589.454529723993,959295320.8804802,869.4848579508046,636493.9378667391
2022-06-28 06:00:00+00:00,89724.7528748593,20147.156888735455,958906846.2334164,973.7354581080459,634309.638700735
2022-06-28 07:00:00+00:00,89640.78323785614,20147.655654310114,958032778.2775232,973.736808461839,633731.163528063
2022-06-28 08:00:00+00:00,89650.11319752317,20147.600235912927,958129896.9392892,973.7366584225288,633795.438547249
2022-06-28 09:00:00+00:00,89659.44315719018,15297.138604896236,958227015.6010551,1101.0865083832184,664736.0350994242
2022-06-28 10:00:00+00:00,89715.42291519229,15296.886144486592,958809727.5716506,1101.0856081473562,665140.4708491181
2022-06-28 11:00:00+00:00,89780.70984339928,15296.59604517692,959489558.2040123,1101.084557872184,665612.3125570943
2022-06-28 12:00:00+00:00,89808.6054350312,15296.488175729164,959780914.1893098,1101.0841077542527,665814.5304319409
2022-06-28 13:00:00+00:00,89855.09808775112,15296.308393316238,960266507.4981393,1101.0833575577012,666151.5602233523
2022-06-28 14:00:00+00:00,89892.29220992705,15296.164567385897,960654982.1452031,1101.0827574004597,666421.1840564815
2022-06-28 15:00:00+00:00,89892.29220992705,15296.164567385897,960654982.1452031,1101.0827574004597,666421.1840564815
2022-06-28 16:00:00+00:00,89845.79955720715,15296.34434979882,960169388.8363733,1101.0835075970115,666084.15426507
2022-06-28 17:00:00+00:00,89790.00837394324,11086.554791342382,959586676.8657782,1043.5844078328737,927010.6451229744
